miRNA	status	mi-acc	5p-acc	3p-acc	div
mir-518d	white	MI0003171	MIMAT0005456	MIMAT0002864	
mir-518e	white	MI0003169	MIMAT0005450	MIMAT0002861	
mir-518f	white	MI0003154	MIMAT0002841	MIMAT0002842	
mir-519a-1	white	MI0003178	MIMAT0005452	MIMAT0002869	
mir-519a-2	white	MI0003182		MIMAT0002869	
mir-519b	white	MI0003151	MIMAT0005454	MIMAT0002837	
mir-519c	white	MI0003148	MIMAT0002831	MIMAT0002832	
mir-519d	white	MI0003162	MIMAT0026610	MIMAT0002853	
mir-519e	white	MI0003145	MIMAT0002828	MIMAT0002829	
mir-520a	white	MI0003149	MIMAT0002833	MIMAT0002834	
mir-520b	white	MI0003155			MIMAT0002843
mir-520c	white	MI0003158	MIMAT0005455	MIMAT0002846	
mir-520d	white	MI0003164	MIMAT0002855	MIMAT0002856	
mir-520e	white	MI0003143			MIMAT0002825
mir-520f	white	MI0003146	MIMAT0026609	MIMAT0002830	
mir-520g	white	MI0003166	MIMAT0026611	MIMAT0002858	
mir-520h	white	MI0003175			MIMAT0002867
mir-521-1	white	MI0003176			MIMAT0002854
mir-521-2	white	MI0003163			MIMAT0002854
mir-522	white	MI0003177	MIMAT0005451	MIMAT0002868	
mir-523	white	MI0003153	MIMAT0005449	MIMAT0002840	
mir-524	white	MI0003160	MIMAT0002849	MIMAT0002850	
mir-525	white	MI0003152	MIMAT0002838	MIMAT0002839	
mir-526a-1	white	MI0003157			MIMAT0002845
mir-526a-2	white	MI0003168			MIMAT0002845
mir-526b	white	MI0003150	MIMAT0002835	MIMAT0002836	
mir-527	white	MI0003179			MIMAT0002862
mir-532	white	MI0003205	MIMAT0002888	MIMAT0004780	
mir-539	white	MI0003514	MIMAT0003163	MIMAT0022705	
mir-541	white	MI0005539	MIMAT0004919	MIMAT0004920	
mir-542	white	MI0003686	MIMAT0003340	MIMAT0003389	
mir-543	white	MI0005565			MIMAT0004954
mir-544a	white	MI0003515			MIMAT0003164
mir-545	white	MI0003516	MIMAT0004785	MIMAT0003165	
mir-551a	white	MI0003556			MIMAT0003214
mir-551b	white	MI0003575	MIMAT0004794	MIMAT0003233	
mir-552	white	MI0003557	MIMAT0026615	MIMAT0003215	
mir-556	white	MI0003562	MIMAT0003220	MIMAT0004793	
mir-561	white	MI0003567	MIMAT0022706	MIMAT0003225	
mir-574	white	MI0003581	MIMAT0004795	MIMAT0003239	
mir-576	white	MI0003583	MIMAT0003241	MIMAT0004796	
mir-577	white	MI0003584			MIMAT0003242
mir-580	white	MI0003587	MIMAT0026617	MIMAT0003245	
mir-582	white	MI0003589	MIMAT0003247	MIMAT0004797	
mir-584	white	MI0003591	MIMAT0003249	MIMAT0022708	
mir-585	white	MI0003592	MIMAT0026618	MIMAT0003250	
mir-589	white	MI0003599	MIMAT0004799	MIMAT0003256	
mir-590	white	MI0003602	MIMAT0003258	MIMAT0004801	
mir-599	white	MI0003611			MIMAT0003267
mir-605	white	MI0003618	MIMAT0003273	MIMAT0026621	
mir-615	white	MI0003628	MIMAT0004804	MIMAT0003283	
mir-616	white	MI0003629	MIMAT0003284	MIMAT0004805	
mir-624	white	MI0003638	MIMAT0003293	MIMAT0004807	
mir-625	white	MI0003639	MIMAT0003294	MIMAT0004808	
