miRNA	status
mir-4512 	rejected
mir-4513 	rejected
mir-4514 	rejected
mir-4515 	rejected
mir-4516 	rejected
mir-4518 	rejected
mir-4519 	rejected
mir-4520-1 	rejected
mir-4520-2	rejected
mir-4521 	rejected
mir-4522 	rejected
mir-4525 	rejected
mir-4529 	rejected
mir-4530 	rejected
mir-4531 	rejected
mir-4532 	rejected
mir-4533 	rejected
mir-4534 	rejected
mir-4535 	rejected
mir-4536-1 	rejected
mir-4536-2 	rejected
mir-4537 	rejected
mir-4538 	rejected
mir-4539 	rejected
mir-4540 	rejected
mir-4632 	rejected
mir-4633 	rejected
mir-4634 	rejected
mir-4636 	rejected
mir-4638 	rejected
mir-4639 	rejected
mir-4645 	rejected
mir-4646 	rejected
mir-4647 	rejected
mir-4648 	rejected
mir-4649 	rejected
mir-4650-1 	rejected
mir-4650-2 	rejected
mir-4652 	rejected
mir-4653 	rejected
mir-4655 	rejected
mir-4657 	rejected
mir-4658 	rejected
mir-4659a 	rejected
mir-4660 	rejected
mir-4665 	rejected
mir-4666a 	rejected
mir-4666b 	rejected
mir-4667 	rejected
mir-4668 	rejected
mir-4670 	rejected
mir-4671 	rejected
mir-4674 	rejected
mir-4676 	rejected
mir-4679-1 	rejected
mir-4680 	rejected
mir-4683 	rejected
mir-4685 	rejected
mir-4687 	rejected
mir-4688 	rejected
mir-4690 	rejected
mir-4691 	rejected
mir-4692 	rejected
mir-4693 	rejected
mir-4694 	rejected
mir-4695 	rejected
mir-4697 	rejected
mir-4699 	rejected
mir-4700 	rejected
mir-4701 	rejected
mir-4704 	rejected
mir-4707 	rejected
mir-4708 	rejected
mir-4709 	rejected
mir-4710 	rejected
mir-4711 	rejected
mir-4713 	rejected
mir-4714	rejected
mir-4715 	rejected
mir-4716 	rejected
mir-4717 	rejected
mir-4720 	rejected
mir-4722 	rejected
mir-4723 	rejected
mir-4724 	rejected
mir-4726 	rejected
mir-4728 	rejected
mir-4729 	rejected
mir-4732 	rejected
mir-4733 	rejected
mir-4735 	rejected
mir-4736 	rejected
mir-4737 	rejected
mir-4738 	rejected
mir-4740 	rejected
mir-4742 	rejected
mir-4743 	rejected
mir-4745 	rejected
mir-4746 	rejected
mir-4747 	rejected
mir-4749 	rejected
mir-4750 	rejected
mir-4753 	rejected
mir-4755 	rejected
mir-4757 	rejected
mir-4758 	rejected
mir-4760 	rejected
mir-4762 	rejected
mir-4763 	rejected
mir-4764 	rejected
mir-4767 	rejected
mir-4768 	rejected
mir-4769 	rejected
mir-4770 	rejected
mir-4771-1 	rejected
mir-4771-2 	rejected
mir-4772 	rejected
mir-4774 	rejected
mir-4775 	rejected
mir-4776-1 	rejected
mir-4777 	rejected
mir-4778 	rejected
mir-4781 	rejected
mir-4782 	rejected
mir-4783 	rejected
mir-4785 	rejected
mir-4786 	rejected
mir-4787 	rejected
mir-4789 	rejected
mir-4790 	rejected
